open_time,open,high,low,close,volume
2019-01-17 08:00:00,3607.5,3660.0,3540.0,3637.0,943447538.0
2019-01-18 08:00:00,3637.0,3639.5,3571.5,3606.0,656428321.0
2019-01-19 08:00:00,3606.0,3784.5,3605.0,3681.5,745711298.0
2019-01-20 08:00:00,3681.5,3700.0,3450.0,3535.0,1016540362.0
2019-01-21 08:00:00,3535.0,3575.0,3474.5,3529.5,763124348.0
2019-01-22 08:00:00,3529.5,3608.5,3405.0,3578.0,1148206703.0
2019-01-23 08:00:00,3578.0,3617.5,3522.0,3551.0,904277332.0
2019-01-24 08:00:00,3551.0,3590.0,3526.5,3568.0,721324540.0
2019-01-25 08:00:00,3568.0,3577.0,3501.0,3560.5,770190679.0
2019-01-26 08:00:00,3560.5,3672.5,3530.0,3554.5,824768395.0
2019-01-27 08:00:00,3554.5,3558.5,3462.5,3527.5,791531675.0
2019-01-28 08:00:00,3527.5,3530.0,3370.0,3428.0,1600983915.0
2019-01-29 08:00:00,3428.0,3435.5,3343.0,3391.0,995168687.0
2019-01-30 08:00:00,3391.0,3460.0,3372.5,3434.0,930964392.0
2019-01-31 08:00:00,3434.0,3473.0,3392.5,3413.5,743028351.0
2019-02-01 08:00:00,3413.5,3460.0,3374.5,3435.5,879858333.0
2019-02-02 08:00:00,3435.5,3484.5,3414.0,3464.0,728919652.0
2019-02-03 08:00:00,3464.0,3470.5,3382.5,3414.0,763280076.0
2019-02-04 08:00:00,3414.0,3435.0,3394.0,3406.5,554983495.0
2019-02-05 08:00:00,3406.5,3430.0,3396.0,3428.5,435570729.0
2019-02-06 08:00:00,3428.5,3446.0,3330.0,3365.5,929931861.0
2019-02-07 08:00:00,3365.5,3378.5,3350.5,3357.0,333273271.0
2019-02-08 08:00:00,3357.0,3728.0,3341.0,3626.0,1755549256.0
2019-02-09 08:00:00,3626.0,3642.5,3595.0,3626.0,664676512.0
2019-02-10 08:00:00,3626.0,3660.0,3575.0,3648.0,732314688.0
2019-02-11 08:00:00,3648.0,3652.5,3575.5,3591.0,744728832.0
2019-02-12 08:00:00,3591.0,3618.0,3550.0,3587.5,870328982.0
2019-02-13 08:00:00,3587.5,3632.0,3562.5,3577.0,649214457.0
2019-02-14 08:00:00,3577.0,3590.0,3533.0,3560.0,591406772.0
2019-02-15 08:00:00,3560.0,3615.0,3536.5,3565.0,728403854.0
2019-02-16 08:00:00,3565.0,3609.5,3564.0,3579.5,627259315.0
2019-02-17 08:00:00,3579.5,3680.0,3553.0,3623.5,1019233948.0
2019-02-18 08:00:00,3623.5,3919.0,3615.0,3867.5,2873418963.0
2019-02-19 08:00:00,3867.5,3972.0,3838.0,3888.0,2058087199.0
2019-02-20 08:00:00,3888.0,3958.0,3868.5,3938.5,1248217490.0
2019-02-21 08:00:00,3938.5,3995.0,3863.0,3897.5,1211912456.0
2019-02-22 08:00:00,3897.5,3957.0,3886.5,3938.5,1028224433.0
2019-02-23 08:00:00,3938.5,4157.5,3906.5,4111.5,1754842139.0
2019-02-24 08:00:00,4111.5,4190.0,3702.0,3733.5,2458966881.0
2019-02-25 08:00:00,3733.5,3854.5,3730.0,3818.0,1181271511.0
2019-02-26 08:00:00,3818.0,3826.0,3750.0,3797.0,868952398.0
2019-02-27 08:00:00,3797.0,3821.5,3640.0,3798.0,1160849783.0
2019-02-28 08:00:00,3798.0,3895.0,3741.0,3788.0,1171406068.0
2019-03-01 08:00:00,3788.0,3839.0,3784.5,3802.0,565492632.0
2019-03-02 08:00:00,3802.0,3819.0,3754.0,3808.0,540450028.0
2019-03-03 08:00:00,3808.0,3816.5,3757.0,3785.5,504059676.0
2019-03-04 08:00:00,3785.5,3804.5,3669.0,3698.5,1237930792.0
2019-03-05 08:00:00,3698.5,3880.0,3691.0,3846.5,1424807550.0
2019-03-06 08:00:00,3846.5,3901.0,3810.5,3849.0,856845523.0
2019-03-07 08:00:00,3849.0,3889.0,3828.0,3854.0,1037324028.0
2019-03-08 08:00:00,3854.0,3913.5,3742.5,3840.0,1197247739.0
2019-03-09 08:00:00,3840.0,3943.0,3831.5,3916.0,1263671482.0
2019-03-10 08:00:00,3916.0,3916.0,3860.0,3897.5,583852214.0
2019-03-11 08:00:00,3897.5,3912.5,3806.0,3845.0,943232476.0
2019-03-12 08:00:00,3845.0,3874.0,3793.5,3857.5,975781570.0
2019-03-13 08:00:00,3857.5,3872.5,3825.0,3849.5,651939565.0
2019-03-14 08:00:00,3849.5,3906.0,3750.0,3855.0,835215034.0
2019-03-15 08:00:00,3855.0,3903.5,3840.5,3897.0,754035503.0
2019-03-16 08:00:00,3897.0,4038.0,3896.0,3986.0,1344503429.0
2019-03-17 08:00:00,3986.0,3987.5,3926.0,3962.0,680719566.0
2019-03-18 08:00:00,3962.0,4014.5,3928.0,3969.0,976963412.0
2019-03-19 08:00:00,3969.0,4012.0,3945.0,3997.0,869685179.0
2019-03-20 08:00:00,3997.0,4048.5,3952.5,4029.5,1114612306.0
2019-03-21 08:00:00,4029.5,4067.5,3914.5,3969.0,1446482112.0
2019-03-22 08:00:00,3969.0,3999.0,3958.0,3981.0,596252650.0
2019-03-23 08:00:00,3981.0,3999.0,3952.0,3979.5,575838849.0
2019-03-24 08:00:00,3979.5,3979.5,3937.0,3966.5,460394105.0
2019-03-25 08:00:00,3966.5,3972.5,3859.5,3903.5,1049445895.0
2019-03-26 08:00:00,3903.5,3920.0,3881.5,3915.5,628735149.0
2019-03-27 08:00:00,3915.5,4041.0,3910.0,4025.5,1339386470.0
2019-03-28 08:00:00,4025.5,4026.0,3991.0,4009.0,563612950.0
2019-03-29 08:00:00,4009.0,4097.5,4002.0,4086.0,1564265726.0
2019-03-30 08:00:00,4086.0,4129.0,4021.0,4088.0,1050240961.0
2019-03-31 08:00:00,4088.0,4098.0,4074.0,4091.0,404465604.0
2019-04-01 08:00:00,4091.0,4144.5,4036.5,4132.5,1194734770.0
2019-04-02 08:00:00,4132.5,5144.5,4128.5,4897.5,4877433560.0
2019-04-03 08:00:00,4897.5,5348.5,4783.0,4979.0,5191879310.0
2019-04-04 08:00:00,4979.0,5085.5,4780.0,4910.0,3228374415.0
2019-04-05 08:00:00,4910.0,5073.5,4885.0,5040.0,1992032192.0
2019-04-06 08:00:00,5040.0,5245.0,4890.5,5043.0,2185695456.0
2019-04-07 08:00:00,5043.0,5280.0,5028.0,5192.0,2199032130.0
2019-04-08 08:00:00,5192.0,5341.0,5133.0,5285.5,2648582157.0
2019-04-09 08:00:00,5285.5,5285.5,5140.5,5184.0,2031776659.0
2019-04-10 08:00:00,5184.0,5474.0,5109.0,5321.5,2276551766.0
2019-04-11 08:00:00,5321.5,5342.5,4959.0,5038.5,2473244609.0
2019-04-12 08:00:00,5038.5,5132.0,4923.0,5075.5,1563910560.0
2019-04-13 08:00:00,5075.5,5117.0,5027.5,5066.0,925759271.0
2019-04-14 08:00:00,5066.0,5183.5,5008.0,5160.0,985278444.0
2019-04-15 08:00:00,5160.0,5191.5,4942.0,5024.0,1538220012.0
2019-04-16 08:00:00,5024.0,5329.5,5013.0,5202.5,1450183323.0
2019-04-17 08:00:00,5202.5,5291.0,5150.5,5227.0,1298984546.0
